Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,1,156,"H3","190532",8,55731,55731,126897,0
2010,699,2,156,"H3","190532",8,971,971,3442,6
2010,699,1,156,"H3","190540",8,58720,58720,86617,0
2010,699,2,156,"H3","190540",8,561,561,1823,6
2010,699,1,156,"H3","20",1,,,11289441,0
2010,699,2,156,"H3","20",1,,,2476645,0
2010,699,1,156,"H3","200190",8,1016000,1016000,874425,0
2010,699,2,156,"H3","200190",8,1264,1264,2449,6
2010,699,1,156,"H3","200290",8,6170469,6170469,4931930,0
2010,699,1,156,"H3","2003",8,226194,226194,345889,0
2010,699,1,156,"H3","200390",8,135346,135346,265120,0
2010,699,1,156,"H3","2004",8,508339,508339,469942,0
2010,699,2,156,"H3","2004",8,157819,157819,258648,6
2010,699,1,156,"H3","200410",8,502695,502695,451646,0
2010,699,2,156,"H3","200410",8,71162,71162,64059,6
2010,699,1,156,"H3","200490",8,5644,5644,18297,0
2010,699,2,156,"H3","200490",8,86657,86657,194588,6
2010,699,1,156,"H3","2005",8,40302,40302,70176,0
2010,699,1,156,"H3","200559",8,900,900,1901,0
2010,699,1,156,"H3","200580",8,316,316,454,0
2010,699,1,156,"H3","200599",8,950,950,3838,0
2010,699,1,156,"H3","2007",8,193654,193654,214254,0
2010,699,2,156,"H3","2007",8,349783,349783,799011,6
2010,699,1,156,"H3","200710",8,290,290,612,0
2010,699,1,156,"H3","200791",8,1000,1000,3976,0
2010,699,1,156,"H3","200799",8,192364,192364,209666,0
2010,699,2,156,"H3","200799",8,349783,349783,799011,6
2010,699,1,156,"H3","2008",8,554077,554077,755387,0
2010,699,2,156,"H3","2008",8,126678,126678,698278,6
2010,699,1,156,"H3","200819",8,6796,6796,29923,0
2010,699,2,156,"H3","200819",8,126668,126668,698253,6
2010,699,1,156,"H3","200840",8,520,520,2194,0
2010,699,1,156,"H3","200870",8,36592,36592,87930,0
2010,699,1,156,"H3","2009",8,3480325,3480325,3205190,0
2010,699,2,156,"H3","2009",8,364214,364214,710216,6
2010,699,1,156,"H3","200919",8,46065,46065,63886,0
2010,699,1,156,"H3","200950",8,160,160,3014,0
